Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.524,1.244,0.561,0.354,0.101,0.005,0.001,0,0.004,9950.582,306.896,0.04,0.051,0.626,0.229,0.001
1.468,1.175,0.526,0.346,0.126,0.01,0.002,0,0.006,9281.781,191.659,0.056,0.05,0.786,0.165,0.001
