pota_ha,barl_ha,csil_ha,fesc_ha,wwht_ha,oats_ha,canp_ha,lupn_ha,pota_yld_t_ha,barl_yld_t_ha,csil_yld_t_ha,fesc_yld_t_ha,wwht_yld_t_ha,oats_yld_t_ha,canp_yld_t_ha,lupn_yld_t_ha
215.94,86.74,22.32,777.67,236.42,163.87,243.71,141.01,6.89,4.03,8.82,0.33,2.26,2.95,4.36,0.92
215.94,86.74,22.32,777.67,236.42,163.87,243.71,141.01,6.67,4.02,8.74,0.34,2.25,2.93,4.26,0.91
