Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.606,1.252,0.559,0.355,0.101,0.005,0.001,0,0.004,10244.46,331.942,0.043,0.05,0.612,0.229,0.002
1.504,1.194,0.527,0.342,0.126,0.01,0.002,0,0.006,9055.201,214.575,0.058,0.05,0.781,0.167,0.001
