pota_ha,barl_ha,csil_ha,fesc_ha,wwht_ha,oats_ha,canp_ha,lupn_ha,pota_yld_t_ha,barl_yld_t_ha,csil_yld_t_ha,fesc_yld_t_ha,wwht_yld_t_ha,oats_yld_t_ha,canp_yld_t_ha,lupn_yld_t_ha
215.94,86.74,15.67,821.21,236.42,153.17,243.71,148.09,6.89,4.03,8.65,0.31,2.26,2.96,4.36,0.91
215.94,86.74,15.67,821.21,236.42,153.17,243.71,148.09,6.67,4.02,8.59,0.32,2.25,2.93,4.26,0.91
