 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2023      46       0  hru046                 0.000       0.002       0.000       9.433       0.690       1.881       0.000       0.003       0.000       0.267       0.000       0.000
   365    12    31  2023      47       0  hru047                 0.000       0.000       0.000      10.882       0.000       1.374       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      48       0  hru048                 0.000       0.000       0.000      13.768       0.000       1.297       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      49       0  hru049                 0.001       0.000       0.000      10.797       0.000       1.483       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      50       0  hru050                 0.002       0.000       0.000      10.797       0.000       1.483       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      51       0  hru051                 0.000       0.000       0.000      10.797       0.000       1.483       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      52       0  hru052                 0.000       0.000       0.000      10.295       0.005       2.048       0.000       0.000       0.000       0.011       0.000       0.000
   365    12    31  2023      53       0  hru053                 0.007       0.112       0.019       7.599       2.131       2.174       0.000       0.032       0.000       4.920       0.000       0.000
   365    12    31  2023      54       0  hru054                 0.000       0.000       0.000      10.797       0.000       1.484       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      55       0  hru055                 0.000       0.000       0.000       0.366       1.033       0.102       0.000       0.000       0.000       2.669       0.000       0.000
   365    12    31  2023      56       0  hru056                 0.000       0.000       0.000       0.000       6.287       0.000       0.000       0.000       0.000       0.586       0.000       0.000
   365    12    31  2023      57       0  hru057                 0.000       0.000       0.000       0.382       0.692       0.111       0.000       0.000       0.000       2.791       0.000       0.000
   365    12    31  2023      58       0  hru058                 0.000       0.001       0.000       0.531       1.138       0.278       0.000       0.000       0.000       3.119       0.000       0.000
   365    12    31  2023      59       0  hru059                 0.000       0.000       0.000       0.393       0.472       0.117       0.000       0.000       0.000       2.865       0.000       0.000
   365    12    31  2023      60       0  hru060                 0.000       0.001       0.000       0.209       3.516       0.067       0.000       0.000       0.000       2.928       0.000       0.000
   365    12    31  2023      61       0  hru061                 0.000       0.000       0.000       0.088       4.410       0.020       0.000       0.000       0.000       2.196       0.000       0.000
