 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2021      46       0  hru046                 0.001       0.004       0.002      10.345       0.000       1.507       0.000       0.008       0.000       0.000       0.000       0.000
   365    12    31  2021      47       0  hru047                 0.000       0.000       0.000      10.453       0.000       1.563       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      48       0  hru048                 0.000       0.000       0.000      12.648       0.000       1.646       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      49       0  hru049                 0.000       0.000       0.000      10.945       0.000       1.681       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      50       0  hru050                 0.001       0.000       0.000      11.016       0.001       1.694       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      51       0  hru051                 0.000       0.000       0.000      11.017       0.000       1.694       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      52       0  hru052                 0.000       0.002       0.001      11.061       0.000       1.699       0.000       0.003       0.000       0.000       0.000       0.000
   365    12    31  2021      53       0  hru053                 0.009       0.116       0.045      11.295       0.000       1.957       0.000       0.012       0.000       0.000       0.000       0.000
   365    12    31  2021      54       0  hru054                 0.000       0.000       0.000      11.016       0.000       1.694       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2021      55       0  hru055                 1.086       4.766       0.578       0.499       8.372       0.244       0.000       1.733       0.000       7.415       0.000       0.000
   365    12    31  2021      56       0  hru056                 0.001       0.004       0.001       0.000       0.582       0.001       0.000       0.001       0.000      23.285       0.000       0.000
   365    12    31  2021      57       0  hru057                 0.463       2.227       0.271       0.441       1.813       0.267       0.000       0.789       0.000       9.499       0.000       0.000
   365    12    31  2021      58       0  hru058                 2.774      10.181       1.237       0.733       8.257       0.183       0.000       3.472       0.000       8.256       0.000       0.000
   365    12    31  2021      59       0  hru059                 0.268       1.314       0.160       0.449       1.225       0.292       0.000       0.461       0.000       9.555       0.000       0.000
   365    12    31  2021      60       0  hru060                 5.084      15.291       1.858       0.382      16.259       0.057       0.000       3.839       0.000       9.329       0.000       0.000
   365    12    31  2021      61       0  hru061                 0.002       0.008       0.001       0.018       0.074       0.003       0.000       0.003       0.000      23.576       0.000       0.000
   365    12    31  2021      62       0  hru062                 3.564      12.464       1.515       0.338       0.122       0.482       0.000       2.943       0.000      59.277       0.000       0.000
   365    12    31  2021      63       0  hru063                 0.004       0.018       0.002       0.026       0.011       0.006       0.000       0.006       0.000      28.326       0.000       0.000
   365    12    31  2021      64       0  hru064                 0.010       0.064       0.008       0.007      11.265       0.003       0.000       0.018       0.000      15.123       0.000       0.000
   365    12    31  2021      65       0  hru065                 0.007       0.048       0.006       0.008      10.606       0.003       0.000       0.013       0.000      15.797       0.000       0.000
   365    12    31  2021      66       0  hru066                 0.010       0.062       0.008       0.006      12.549       0.002       0.000       0.017       0.000      14.051       0.000       0.000
   365    12    31  2021      67       0  hru067                 0.000       0.000       0.000       0.000       3.699       0.000       0.000       0.000       0.000      17.311       0.000       0.000
   365    12    31  2021      68       0  hru068                 0.001       0.005       0.001       0.006       0.430       0.003       0.000       0.001       0.000      23.208       0.000       0.000
   365    12    31  2021      69       0  hru069                 0.000       0.003       0.000       0.006       0.293       0.004       0.000       0.001       0.000      23.742       0.000       0.000
   365    12    31  2021      70       0  hru070                 0.001       0.006       0.001       0.006       0.221       0.004       0.000       0.002       0.000      24.022       0.000       0.000
   365    12    31  2021      71       0  hru071                 0.001       0.004       0.001       0.006       0.171       0.004       0.000       0.001       0.000      23.316       0.000       0.000
   365    12    31  2021      72       0  hru072                 0.001       0.004       0.000       0.006       0.327       0.004       0.000       0.001       0.000      23.973       0.000       0.000
   365    12    31  2021      73       0  hru073                 0.370       2.148       0.261       0.762       0.040       0.611       0.000       0.702       0.000      13.427       0.000       0.000
   365    12    31  2021      74       0  hru074                 0.297       1.457       0.177       0.474       1.197       0.310       0.000       0.512       0.000       9.242       0.000       0.000
   365    12    31  2021      75       0  hru075                 0.482       2.504       0.304       0.575       1.279       0.428       0.000       0.880       0.000       9.823       0.000       0.000
   365    12    31  2021      76       0  hru076                 0.000       0.002       0.000       0.009       0.052       0.001       0.000       0.001       0.000      23.810       0.000       0.000
   365    12    31  2021      77       0  hru077                 0.000       0.000       0.000       0.000       0.100       0.000       0.000       0.000       0.000      19.934       0.000       0.000
   365    12    31  2021      78       0  hru078                 0.000       0.000       0.000       0.000       0.084       0.000       0.000       0.000       0.000      20.202       0.000       0.000
   365    12    31  2021      79       0  hru079                 0.004       0.012       0.001       0.017       0.060       0.020       0.000       0.006       0.000      23.919       0.000       0.000
   365    12    31  2021      80       0  hru080                 0.000       0.000       0.000       0.000       0.169       0.000       0.000       0.000       0.000      19.821       0.000       0.000
   365    12    31  2021      81       0  hru081                 0.000       0.001       0.000       0.006       0.064       0.010       0.000       0.000       0.000      21.718       0.000       0.000
   365    12    31  2021      82       0  hru082                 0.000       0.000       0.000       0.000       0.066       0.000       0.000       0.000       0.000      23.611       0.000       0.000
   365    12    31  2021      83       0  hru083                 0.000       0.000       0.000       0.000       0.050       0.000       0.000       0.000       0.000      20.442       0.000       0.000
   365    12    31  2021      84       0  hru084                 0.000       0.000       0.000       0.000       0.054       0.000       0.000       0.000       0.000      20.274       0.000       0.000
   365    12    31  2021      85       0  hru085                 0.000       0.000       0.000       0.000       0.075       0.000       0.000       0.000       0.000      19.944       0.000       0.000
   365    12    31  2021      86       0  hru086                 1.389       6.806       0.828       0.426       0.016       0.550       0.000       2.141       0.000      62.167       0.000       0.000
   365    12    31  2021      87       0  hru087                 0.162       1.409       0.172       0.159       0.131       0.435       0.000       0.387       0.000      26.572       0.000       0.000
   365    12    31  2021      88       0  hru088                 0.000       0.000       0.000       0.000       0.942       0.000       0.000       0.000       0.000      24.271       0.000       0.000
   365    12    31  2021      89       0  hru089                 0.000       0.000       0.000       0.000       0.075       0.000       0.000       0.000       0.000      20.356       0.000       0.000
   365    12    31  2021      90       0  hru090                 0.000       0.000       0.000       0.000       0.081       0.000       0.000       0.000       0.000      20.356       0.000       0.000
   365    12    31  2021      91       0  hru091                 0.000       0.000       0.000       0.000       0.578       0.000       0.000       0.000       0.000      24.251       0.000       0.000
   365    12    31  2021      92       0  hru092                 0.014       0.067       0.008       0.031       0.021       0.013       0.000       0.023       0.000      36.179       0.000       0.000
   365    12    31  2021      93       0  hru093                 0.000       0.000       0.000       0.000       0.071       0.000       0.000       0.000       0.000      20.351       0.000       0.000
   365    12    31  2021      94       0  hru094                 0.000       0.000       0.000       0.000       0.686       0.000       0.000       0.000       0.000      24.298       0.000       0.000
   365    12    31  2021      95       0  hru095                 0.633       2.890       0.351       0.344      11.321       0.218       0.000       1.019       0.000      10.078       0.000       0.000
   365    12    31  2021      96       0  hru096                 0.033       1.995       0.244       0.060       1.677       0.091       0.000       0.058       0.000      28.846       0.000       0.000
   365    12    31  2021      97       0  hru097                 0.000       0.000       0.000       0.000       2.610       0.000       0.000       0.000       0.000      23.633       0.000       0.000
   365    12    31  2021      98       0  hru098                 0.800       3.578       0.434       0.312      12.772       0.175       0.000       1.272       0.000       9.106       0.000       0.000
   365    12    31  2021      99       0  hru099                 1.308       5.482       0.666       0.175       0.510       0.271       0.000       1.855       0.000      27.536       0.000       0.000
   365    12    31  2021     100       0  hru100                 0.004       0.019       0.002       0.019       0.019       0.004       0.000       0.007       0.000      29.439       0.000       0.000
   365    12    31  2021     101       0  hru101                 0.000       0.000       0.000       0.000       0.137       0.000       0.000       0.000       0.000      20.010       0.000       0.000
   365    12    31  2021     102       0  hru102                 0.009       0.049       0.005       0.176       0.015       0.026       0.000       0.015       0.000      25.978       0.000       0.000
   365    12    31  2021     103       0  hru103                 0.003       0.012       0.001       0.060       0.142       0.008       0.000       0.005       0.000      20.027       0.000       0.000
   365    12    31  2021     104       0  hru104                 0.007       0.037       0.004       0.168       0.011       0.030       0.000       0.012       0.000      26.426       0.000       0.000
   365    12    31  2021     105       0  hru105                 0.118       0.446       0.050       0.220       0.096       0.363       0.000       0.200       0.000      25.961       0.000       0.000
   365    12    31  2021     106       0  hru106                 1.292       6.390       0.713       1.456       1.733       0.517       0.000       2.161       0.000       8.292       0.000       0.000
   365    12    31  2021     107       0  hru107                 0.711       3.616       0.436       1.182       0.075       1.093       0.000       1.359       0.000      11.644       0.000       0.000
   365    12    31  2021     108       0  hru108                 0.048       0.435       0.075       0.133       0.225       0.215       0.000       0.233       0.000      27.367       0.000       0.000
   365    12    31  2021     109       0  hru109                 0.012       0.076       0.011       0.125       0.254       0.098       0.000       0.034       0.000      23.212       0.000       0.000
   365    12    31  2021     110       0  hru110                 0.010       0.052       0.006       0.161       0.077       0.026       0.000       0.016       0.000      22.153       0.000       0.000
   365    12    31  2021     111       0  hru111                 0.016       0.083       0.010       0.148       0.084       0.047       0.000       0.028       0.000      22.236       0.000       0.000
   365    12    31  2021     112       0  hru112                 0.149       1.414       0.242       2.833       0.320       2.637       0.000       0.757       0.000      11.815       0.000       0.000
   365    12    31  2021     113       0  hru113                 0.003       0.012       0.001       0.025       0.111       0.008       0.000       0.006       0.000      18.524       0.000       0.000
   365    12    31  2021     114       0  hru114                 0.094       0.684       0.110       0.209       1.696       0.866       0.000       0.498       0.000      23.892       0.000       0.000
   365    12    31  2021     115       0  hru115                 0.035       0.174       0.021       0.127       0.015       0.048       0.000       0.059       0.000      24.947       0.000       0.000
   365    12    31  2021     116       0  hru116                 0.003       0.010       0.001       0.041       0.112       0.007       0.000       0.004       0.000      19.528       0.000       0.000
   365    12    31  2021     117       0  hru117                 0.002       0.008       0.001       0.036       0.127       0.007       0.000       0.004       0.000      18.929       0.000       0.000
   365    12    31  2021     118       0  hru118                 0.002       0.008       0.001       0.037       0.123       0.007       0.000       0.004       0.000      19.006       0.000       0.000
   365    12    31  2021     119       0  hru119                 0.857       4.335       0.499       2.775       2.031       0.527       0.000       1.557       0.000       7.576       0.000       0.000
   365    12    31  2021     120       0  hru120                 0.001       0.031       0.004       0.037       0.242       0.005       0.000       0.001       0.000      25.036       0.000       0.000
   365    12    31  2021     121       0  hru121                 0.037       0.345       0.060       0.182       0.147       0.300       0.000       0.188       0.000      27.751       0.000       0.000
   365    12    31  2021     122       0  hru122                 0.064       0.402       0.059       0.162       0.494       0.273       0.000       0.188       0.000      23.738       0.000       0.000
   365    12    31  2021     123       0  hru123                 0.001       0.006       0.001       0.036       0.234       0.022       0.000       0.003       0.000      20.671       0.000       0.000
   365    12    31  2021     124       0  hru124                 0.023       0.156       0.024       0.172       0.391       0.136       0.000       0.075       0.000      23.128       0.000       0.000
   365    12    31  2021     125       0  hru125                 1.726       8.414       1.004       6.472       1.245       2.125       0.000       3.170       0.000       8.676       0.000       0.000
   365    12    31  2021     126       0  hru126                 0.005       0.019       0.002       0.058       0.102       0.016       0.000       0.008       0.000      19.974       0.000       0.000
   365    12    31  2021     127       0  hru127                 4.905      20.453       2.424       8.808       1.710       3.443       0.000       7.077       0.000       9.528       0.000       0.000
   365    12    31  2021     128       0  hru128                 1.129       5.576       0.674       1.726       8.211       0.535       0.000       2.019       0.000       6.355       0.000       0.000
   365    12    31  2021     129       0  hru129                 0.167       0.881       0.106       1.169       0.134       0.373       0.000       0.347       0.000      11.317       0.000       0.000
   365    12    31  2021     130       0  hru130                 0.027       0.134       0.016       0.246       0.034       0.110       0.000       0.046       0.000      21.665       0.000       0.000
   365    12    31  2021     131       0  hru131                 0.025       0.125       0.015       0.328       0.014       0.048       0.000       0.043       0.000      26.057       0.000       0.000
   365    12    31  2021     132       0  hru132                 0.470       2.431       0.291       2.156       0.124       1.243       0.000       1.013       0.000      12.048       0.000       0.000
   365    12    31  2021     133       0  hru133                 0.003       0.026       0.005       0.056       1.400       0.069       0.000       0.018       0.000      20.322       0.000       0.000
   365    12    31  2021     134       0  hru134                 0.322       2.228       0.339       5.537       5.227       1.933       0.000       1.083       0.000       8.489       0.000       0.000
   365    12    31  2021     135       0  hru135                 0.007       0.040       0.004       0.674       0.356       0.068       0.000       0.011       0.000      23.771       0.000       0.000
   365    12    31  2021     136       0  hru136                 0.001       0.049       0.006       0.130       1.023       0.010       0.000       0.002       0.000      32.875       0.000       0.000
   365    12    31  2021     137       0  hru137                 0.015       0.057       0.006       0.077       0.400       0.012       0.000       0.023       0.000      20.262       0.000       0.000
   365    12    31  2021     138       0  hru138                 0.158       0.840       0.100       0.490       0.079       0.303       0.000       0.306       0.000      11.417       0.000       0.000
   365    12    31  2021     139       0  hru139                 0.005       0.039       0.004       0.067       0.480       0.011       0.000       0.010       0.000      23.910       0.000       0.000
   365    12    31  2021     140       0  hru140                 0.003       0.013       0.001       0.073       0.216       0.007       0.000       0.005       0.000      20.223       0.000       0.000
   365    12    31  2021     141       0  hru141                 0.010       0.058       0.007       0.147       0.033       0.061       0.000       0.020       0.000      22.370       0.000       0.000
   365    12    31  2021     142       0  hru142                 0.005       0.016       0.002       0.027       0.133       0.009       0.000       0.009       0.000      18.531       0.000       0.000
   365    12    31  2021     143       0  hru143                 0.041       0.232       0.027       0.174       0.062       0.154       0.000       0.081       0.000      22.846       0.000       0.000
   365    12    31  2021     144       0  hru144                 0.009       0.042       0.005       0.161       0.012       0.042       0.000       0.015       0.000      25.969       0.000       0.000
   365    12    31  2021     145       0  hru145                 0.007       0.034       0.004       0.134       0.026       0.039       0.000       0.011       0.000      21.443       0.000       0.000
   365    12    31  2021     146       0  hru146                 0.024       0.117       0.014       0.153       0.021       0.055       0.000       0.047       0.000      25.267       0.000       0.000
   365    12    31  2021     147       0  hru147                 0.204       0.999       0.121       0.370       0.026       0.301       0.000       0.356       0.000      32.340       0.000       0.000
   365    12    31  2021     148       0  hru148                 3.528      15.563       1.871       9.737       3.214       1.994       0.000       6.336       0.000       8.984       0.000       0.000
   365    12    31  2021     149       0  hru149                 0.065       0.241       0.029       0.341       0.103       0.149       0.000       0.128       0.000      25.199       0.000       0.000
   365    12    31  2021     150       0  hru150                 0.020       0.070       0.009       0.726       0.026       0.050       0.000       0.038       0.000      20.770       0.000       0.000
   365    12    31  2021     151       0  hru151                 0.079       0.555       0.086       0.181       0.117       0.240       0.000       0.277       0.000      27.809       0.000       0.000
   365    12    31  2021     152       0  hru152                 0.097       0.769       0.118       0.798       0.102       0.389       0.000       0.366       0.000      29.949       0.000       0.000
   365    12    31  2021     153       0  hru153                 0.145       1.339       0.230       1.792       0.344       2.310       0.000       0.739       0.000      11.736       0.000       0.000
   365    12    31  2021     154       0  hru154                 0.183       1.678       0.287       1.887       0.364       2.645       0.000       0.925       0.000      11.719       0.000       0.000
   365    12    31  2021     155       0  hru155                 6.273      25.367       3.046      12.387       1.727       5.763       0.000       9.305       0.000       9.778       0.000       0.000
   365    12    31  2021     156       0  hru156                 0.093       0.358       0.041       0.285       0.225       0.080       0.000       0.180       0.000      21.329       0.000       0.000
   365    12    31  2021     157       0  hru157                 0.017       0.124       0.020       0.450       0.151       0.129       0.000       0.066       0.000      27.229       0.000       0.000
   365    12    31  2021     158       0  hru158                 0.262       1.784       0.276       1.602       2.738       0.735       0.000       0.861       0.000      22.422       0.000       0.000
   365    12    31  2021     159       0  hru159                 1.700       8.228       0.979       8.024       3.282       1.898       0.000       3.395       0.000       8.666       0.000       0.000
   365    12    31  2021     160       0  hru160                 0.047       0.432       0.080       0.248       1.349       0.735       0.000       0.298       0.000      25.866       0.000       0.000
   365    12    31  2021     161       0  hru161                 0.011       0.085       0.015       0.054       2.220       0.158       0.000       0.071       0.000      19.269       0.000       0.000
   365    12    31  2021     162       0  hru162                 0.249       1.763       0.271       1.004       2.691       0.747       0.000       0.860       0.000      22.564       0.000       0.000
   365    12    31  2021     163       0  hru163                 0.000       0.000       0.000       0.000       0.058       0.000       0.000       0.000       0.000      20.248       0.000       0.000
   365    12    31  2021     164       0  hru164                 0.000       0.000       0.000       0.000       2.494       0.000       0.000       0.000       0.000      24.137       0.000       0.000
   365    12    31  2021     165       0  hru165                 0.003       0.018       0.002       0.010       0.097       0.004       0.000       0.006       0.000      44.637       0.000       0.000
   365    12    31  2021     166       0  hru166                 0.006       0.021       0.003       0.014       0.059       0.032       0.000       0.010       0.000      23.632       0.000       0.000
   365    12    31  2021     167       0  hru167                 0.001       0.004       0.000       0.003       0.084       0.002       0.000       0.002       0.000      21.332       0.000       0.000
   365    12    31  2021     168       0  hru168                 0.000       0.000       0.000       0.004       0.035       0.000       0.000       0.000       0.000      22.895       0.000       0.000
   365    12    31  2021     169       0  hru169                 0.033       0.176       0.021       0.056       0.048       0.060       0.000       0.062       0.000      25.447       0.000       0.000
   365    12    31  2021     170       0  hru170                 0.000       0.000       0.000       0.000       0.117       0.000       0.000       0.000       0.000      20.092       0.000       0.000
   365    12    31  2021     171       0  hru171                 0.011       0.042       0.005       0.048       0.042       0.015       0.000       0.019       0.000      17.990       0.000       0.000
   365    12    31  2021     172       0  hru172                 0.003       0.009       0.001       0.027       0.030       0.007       0.000       0.005       0.000      17.247       0.000       0.000
   365    12    31  2021     173       0  hru173                 0.021       0.105       0.012       0.108       0.073       0.036       0.000       0.038       0.000      22.968       0.000       0.000
   365    12    31  2021     174       0  hru174                 0.017       0.100       0.010       0.357       0.150       0.057       0.000       0.029       0.000      22.092       0.000       0.000
   365    12    31  2021     175       0  hru175                 0.035       0.250       0.040       0.175       0.450       0.212       0.000       0.126       0.000      22.993       0.000       0.000
   365    12    31  2021     176       0  hru176                 0.035       0.213       0.035       0.083       0.612       0.289       0.000       0.129       0.000      21.203       0.000       0.000
   365    12    31  2021     177       0  hru177                 0.000       0.001       0.000       0.004       0.050       0.000       0.000       0.000       0.000      23.088       0.000       0.000
   365    12    31  2021     178       0  hru178                 0.000       0.000       0.000       0.004       0.031       0.000       0.000       0.000       0.000      22.936       0.000       0.000
   365    12    31  2021     179       0  hru179                 0.000       0.000       0.000       0.000       1.094       0.000       0.000       0.000       0.000      23.891       0.000       0.000
   365    12    31  2021     180       0  hru180                 0.010       0.044       0.004       0.288       0.209       0.029       0.000       0.018       0.000      21.384       0.000       0.000
   365    12    31  2021     181       0  hru181                 0.044       0.315       0.049       0.532       0.429       0.254       0.000       0.151       0.000      23.344       0.000       0.000
   365    12    31  2021     182       0  hru182                 0.003       0.015       0.003       0.040       0.482       0.031       0.000       0.009       0.000      20.090       0.000       0.000
   365    12    31  2021     183       0  hru183                 0.002       0.007       0.001       0.064       0.073       0.008       0.000       0.003       0.000      17.775       0.000       0.000
   365    12    31  2021     184       0  hru184                 6.484      27.928       3.190       8.081       5.398       2.298       0.000      10.328       0.000       6.016       0.000       0.000
   365    12    31  2021     185       0  hru185                 0.021       0.107       0.013       0.877       0.019       0.042       0.000       0.039       0.000      22.664       0.000       0.000
   365    12    31  2021     186       0  hru186                 2.640      12.036       1.391       6.486       1.163       2.494       0.000       4.253       0.000       9.185       0.000       0.000
   365    12    31  2021     187       0  hru187                 0.146       0.770       0.092       0.566       0.091       0.315       0.000       0.286       0.000      11.327       0.000       0.000
   365    12    31  2021     188       0  hru188                 0.578       2.978       0.355       2.382       0.831       1.025       0.000       1.100       0.000       8.227       0.000       0.000
   365    12    31  2021     189       0  hru189                 3.051      13.897       1.662       4.289       1.936       2.012       0.000       5.027       0.000       8.620       0.000       0.000
   365    12    31  2021     190       0  hru190                 0.178       1.069       0.109       1.603       1.886       0.344       0.000       0.314       0.000      26.499       0.000       0.000
   365    12    31  2021     191       0  hru191                 6.291      24.713       2.957       8.296       3.176       2.459       0.000       9.506       0.000       9.336       0.000       0.000
   365    12    31  2021     192       0  hru192                 5.202      21.917       2.622       7.970       4.222       2.474       0.000       9.129       0.000       8.886       0.000       0.000
   365    12    31  2021     193       0  hru193                 0.014       0.071       0.008       0.132       0.007       0.060       0.000       0.025       0.000      24.717       0.000       0.000
   365    12    31  2021     194       0  hru194                 0.275       1.466       0.163       1.173       0.823       0.485       0.000       0.484       0.000      27.626       0.000       0.000
   365    12    31  2021     195       0  hru195                 0.167       0.881       0.105       1.416       0.158       0.367       0.000       0.345       0.000      11.362       0.000       0.000
