 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  1998       4       0  cha4                 0.1333E+00     0.1222E+00     0.1333E+00     0.5619E+00     0.1444E+02     0.7269E+01     0.7218E+01     0.0000E+00     0.7207E+01     0.0000E+00     0.5090E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.5353E-02     0.0000E+00     0.2256E+05     0.2068E+05     0.2256E+05     0.1981E-02
   365    12    31  1998       5       0  cha5                 0.4673E+00     0.1069E+00     0.4673E+00     0.1483E+01     0.1678E+02     0.8592E+01     0.8392E+01     0.0000E+00     0.8375E+01     0.0000E+00     0.1998E+00     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.9860E-02     0.0000E+00     0.2562E+05     0.5859E+04     0.2562E+05     0.1383E-02
   365    12    31  1998       6       0  cha6                 0.5367E+00     0.3143E-01     0.5367E+00     0.1436E+01     0.1197E+02     0.6256E+01     0.5984E+01     0.0000E+00     0.5872E+01     0.0000E+00     0.2720E+00     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1010E-01     0.0000E+00     0.1949E+05     0.1141E+04     0.1949E+05     0.4295E-03
   365    12    31  1999       1       0  cha1                 0.2358E-01     0.2247E-01     0.2358E-01     0.1019E+00     0.5167E+00     0.5561E+00     0.2584E+00     0.0000E+00     0.2557E+00     0.0000E+00     0.2977E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.3549E-01     0.0000E+00     0.4755E+04     0.4531E+04     0.4755E+04     0.3372E-03
   365    12    31  1999       2       0  cha2                 0.7866E-01     0.6356E-01     0.7866E-01     0.3797E+00     0.9944E-04     0.7365E-01     0.4972E-04     0.0000E+00     0.4906E-04     0.0000E+00     0.7360E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.2351E-01     0.0000E+00     0.6950E+05     0.5616E+05     0.6950E+05     0.2604E-04
   365    12    31  1999       3       0  cha3                 0.1269E+00     0.4455E-01     0.1269E+00     0.5650E+00     0.4573E-01     0.3523E+01     0.2287E-01     0.0000E+00     0.2283E-01     0.1844E+00     0.3316E+01     0.0000E+00     0.1292E+01     0.2134E+00     0.5260E-02     0.5020E-02     0.4210E+00     0.0000E+00     0.3247E+05     0.1140E+05     0.3247E+05     0.2292E-02
   365    12    31  1999       4       0  cha4                 0.8464E-01     0.8142E-01     0.8464E-01     0.3567E+00     0.2787E+01     0.1425E+01     0.1394E+01     0.0000E+00     0.1383E+01     0.0000E+00     0.3085E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.3262E-02     0.0000E+00     0.1432E+05     0.1378E+05     0.1432E+05     0.8122E-03
   365    12    31  1999       5       0  cha5                 0.3177E+00     0.8236E-01     0.3177E+00     0.1008E+01     0.5540E+01     0.4182E+01     0.2770E+01     0.0000E+00     0.2758E+01     0.0000E+00     0.1412E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.7005E-01     0.0000E+00     0.1742E+05     0.4516E+04     0.1742E+05     0.3091E-02
   365    12    31  1999       6       0  cha6                 0.3659E+00     0.2443E-01     0.3659E+00     0.9791E+00     0.6046E+01     0.4706E+01     0.3023E+01     0.0000E+00     0.2312E+01     0.0000E+00     0.1683E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6283E-01     0.0000E+00     0.1328E+05     0.8871E+03     0.1328E+05     0.1495E-02
   366    12    31  2000       1       0  cha1                 0.2065E-01     0.2018E-01     0.2067E-01     0.8927E-01     0.1303E-02     0.3548E+00     0.6515E-03     0.0000E+00     0.6459E-03     0.0000E+00     0.3542E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.4178E-01     0.0000E+00     0.4175E+04     0.4082E+04     0.4181E+04     0.2893E-03
   366    12    31  2000       2       0  cha2                 0.6244E-01     0.5229E-01     0.6245E-01     0.3015E+00     0.5420E-06     0.5855E-01     0.2710E-06     0.0000E+00     0.1555E-06     0.0000E+00     0.5855E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1941E-01     0.0000E+00     0.5533E+05     0.4633E+05     0.5533E+05     0.2563E-04
   366    12    31  2000       3       0  cha3                 0.9925E-01     0.3465E-01     0.9928E-01     0.4418E+00     0.1930E-01     0.1874E+01     0.9652E-02     0.0000E+00     0.9597E-02     0.1993E+00     0.1666E+01     0.0000E+00     0.1292E+01     0.2188E+00     0.5260E-02     0.5425E-02     0.2050E+00     0.0000E+00     0.2546E+05     0.8887E+04     0.2547E+05     0.1028E-02
   366    12    31  2000       4       0  cha4                 0.6396E-01     0.6220E-01     0.6396E-01     0.2696E+00     0.1911E+01     0.1126E+01     0.9556E+00     0.0000E+00     0.9556E+00     0.0000E+00     0.1707E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1789E-01     0.0000E+00     0.1085E+05     0.1055E+05     0.1085E+05     0.7008E-03
   366    12    31  2000       5       0  cha5                 0.2596E+00     0.7860E-01     0.2596E+00     0.8241E+00     0.3211E+01     0.4129E+01     0.1606E+01     0.0000E+00     0.1557E+01     0.0000E+00     0.2523E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1246E+00     0.0000E+00     0.1427E+05     0.4321E+04     0.1427E+05     0.4001E-02
   366    12    31  2000       6       0  cha6                 0.3035E+00     0.2310E-01     0.3035E+00     0.8121E+00     0.4807E+01     0.5524E+01     0.2404E+01     0.0000E+00     0.1078E+01     0.0000E+00     0.3120E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1159E+00     0.0000E+00     0.1105E+05     0.8411E+03     0.1105E+05     0.2025E-02
   365    12    31  2001       1       0  cha1                 0.2856E-01     0.2754E-01     0.2853E-01     0.1235E+00     0.1636E-01     0.6244E+00     0.8182E-02     0.0000E+00     0.7533E-02     0.0000E+00     0.6162E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.7314E-01     0.0000E+00     0.5760E+04     0.5554E+04     0.5755E+04     0.5069E-03
   365    12    31  2001       2       0  cha2                 0.1076E+00     0.8690E-01     0.1076E+00     0.5194E+00     0.5405E-06     0.1912E+00     0.2702E-06     0.0000E+00     0.2295E-07     0.0000E+00     0.1912E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.6209E-01     0.0000E+00     0.9507E+05     0.7679E+05     0.9506E+05     0.7473E-04
   365    12    31  2001       3       0  cha3                 0.1748E+00     0.6090E-01     0.1748E+00     0.7780E+00     0.1907E+01     0.7126E+01     0.9537E+00     0.0000E+00     0.8753E+00     0.1931E+00     0.5979E+01     0.0000E+00     0.1292E+01     0.2241E+00     0.5260E-02     0.5255E-02     0.7361E+00     0.0000E+00     0.4471E+05     0.1558E+05     0.4470E+05     0.4289E-02
   365    12    31  2001       4       0  cha4                 0.1158E+00     0.1115E+00     0.1158E+00     0.4880E+00     0.4604E+01     0.2373E+01     0.2302E+01     0.0000E+00     0.2281E+01     0.0000E+00     0.7110E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.7488E-02     0.0000E+00     0.1959E+05     0.1886E+05     0.1959E+05     0.1330E-02
   365    12    31  2001       5       0  cha5                 0.4215E+00     0.9604E-01     0.4215E+00     0.1338E+01     0.1016E+02     0.5107E+01     0.5082E+01     0.0000E+00     0.5065E+01     0.0000E+00     0.2559E-01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1265E-02     0.0000E+00     0.2311E+05     0.5266E+04     0.2311E+05     0.1450E-02
   365    12    31  2001       6       0  cha6                 0.4785E+00     0.2825E-01     0.4785E+00     0.1280E+01     0.7189E+01     0.3681E+01     0.3594E+01     0.0000E+00     0.3558E+01     0.0000E+00     0.8622E-01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.3177E-02     0.0000E+00     0.1737E+05     0.1026E+04     0.1737E+05     0.3648E-03
   365    12    31  2002       1       0  cha1                 0.2477E-01     0.2340E-01     0.2479E-01     0.1071E+00     0.1300E+01     0.8473E+00     0.6500E+00     0.0000E+00     0.6500E+00     0.0000E+00     0.1972E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.2358E-01     0.0000E+00     0.4995E+04     0.4719E+04     0.5000E+04     0.3341E-03
   365    12    31  2002       2       0  cha2                 0.8194E-01     0.6570E-01     0.8194E-01     0.3956E+00     0.3129E-01     0.3316E+00     0.1564E-01     0.0000E+00     0.1564E-01     0.0000E+00     0.3159E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1034E+00     0.0000E+00     0.7240E+05     0.5805E+05     0.7240E+05     0.1312E-03
   365    12    31  2002       3       0  cha3                 0.1423E+00     0.4982E-01     0.1423E+00     0.6333E+00     0.2842E+00     0.3728E+01     0.1421E+00     0.0000E+00     0.1420E+00     0.6595E-01     0.3520E+01     0.0000E+00     0.1292E+01     0.2259E+00     0.5260E-02     0.1795E-02     0.4229E+00     0.0000E+00     0.3640E+05     0.1274E+05     0.3640E+05     0.2554E-02
   365    12    31  2002       4       0  cha4                 0.1052E+00     0.9567E-01     0.1052E+00     0.4435E+00     0.4074E+01     0.2217E+01     0.2037E+01     0.0000E+00     0.2017E+01     0.0000E+00     0.1800E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1888E-01     0.0000E+00     0.1780E+05     0.1619E+05     0.1780E+05     0.9663E-03
   365    12    31  2002       5       0  cha5                 0.3624E+00     0.8917E-01     0.3624E+00     0.1150E+01     0.8231E+01     0.5255E+01     0.4116E+01     0.0000E+00     0.4084E+01     0.0000E+00     0.1140E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.5677E-01     0.0000E+00     0.1987E+05     0.4889E+04     0.1987E+05     0.3138E-02
   365    12    31  2002       6       0  cha6                 0.4138E+00     0.2636E-01     0.4138E+00     0.1107E+01     0.7406E+01     0.5172E+01     0.3703E+01     0.0000E+00     0.3093E+01     0.0000E+00     0.1469E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5491E-01     0.0000E+00     0.1502E+05     0.9569E+03     0.1502E+05     0.1484E-02
   365    12    31  2003       1       0  cha1                 0.3882E-02     0.3566E-02     0.3862E-02     0.1678E-01     0.9899E-01     0.3228E+00     0.4949E-01     0.0000E+00     0.4312E-01     0.0000E+00     0.2733E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.3264E-01     0.0000E+00     0.7829E+03     0.7193E+03     0.7790E+03     0.3540E-03
   365    12    31  2003       2       0  cha2                 0.2289E-01     0.1728E-01     0.2289E-01     0.1105E+00     0.5405E-06     0.1521E+00     0.2702E-06     0.0000E+00     0.1881E-06     0.0000E+00     0.1521E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4966E-01     0.0000E+00     0.2023E+05     0.1527E+05     0.2023E+05     0.6166E-04
   365    12    31  2003       3       0  cha3                 0.4037E-01     0.1681E-01     0.4037E-01     0.1797E+00     0.2658E-04     0.3940E+01     0.1329E-04     0.0000E+00     0.3184E-06     0.1641E-01     0.3924E+01     0.0000E+00     0.1292E+01     0.2263E+00     0.5260E-02     0.4468E-03     0.4714E+00     0.0000E+00     0.1033E+05     0.4299E+04     0.1033E+05     0.2841E-02
   365    12    31  2003       4       0  cha4                 0.3546E-01     0.3420E-01     0.3546E-01     0.1494E+00     0.1019E+01     0.6103E+00     0.5093E+00     0.0000E+00     0.5046E+00     0.0000E+00     0.1010E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1061E-01     0.0000E+00     0.5999E+04     0.5786E+04     0.5999E+04     0.5229E-03
   365    12    31  2003       5       0  cha5                 0.1333E+00     0.4606E-01     0.1333E+00     0.4232E+00     0.4874E+01     0.4792E+01     0.2437E+01     0.0000E+00     0.2375E+01     0.0000E+00     0.2355E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1173E+00     0.0000E+00     0.7310E+04     0.2526E+04     0.7310E+04     0.5432E-02
   365    12    31  2003       6       0  cha6                 0.1509E+00     0.1364E-01     0.1509E+00     0.4038E+00     0.6160E+01     0.5770E+01     0.3080E+01     0.0000E+00     0.1900E+01     0.0000E+00     0.2690E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1007E+00     0.0000E+00     0.5480E+04     0.4954E+03     0.5480E+04     0.2629E-02
   366    12    31  2004       1       0  cha1                 0.2217E-01     0.2104E-01     0.2216E-01     0.9586E-01     0.8997E+00     0.1080E+01     0.4498E+00     0.0000E+00     0.4371E+00     0.0000E+00     0.6297E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.7486E-01     0.0000E+00     0.4483E+04     0.4256E+04     0.4482E+04     0.8374E-03
   366    12    31  2004       2       0  cha2                 0.7410E-01     0.5976E-01     0.7410E-01     0.3577E+00     0.2108E-01     0.2598E+00     0.1054E-01     0.0000E+00     0.1053E-01     0.0000E+00     0.2492E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.8228E-01     0.0000E+00     0.6565E+05     0.5295E+05     0.6565E+05     0.1074E-03
   366    12    31  2004       3       0  cha3                 0.1216E+00     0.3997E-01     0.1216E+00     0.5411E+00     0.2852E+00     0.4612E+01     0.1426E+00     0.0000E+00     0.1425E+00     0.2540E+00     0.4215E+01     0.0000E+00     0.1292E+01     0.2332E+00     0.5260E-02     0.6914E-02     0.4946E+00     0.0000E+00     0.3118E+05     0.1025E+05     0.3118E+05     0.2768E-02
   366    12    31  2004       4       0  cha4                 0.7963E-01     0.7532E-01     0.7963E-01     0.3356E+00     0.2757E+01     0.1642E+01     0.1379E+01     0.0000E+00     0.1371E+01     0.0000E+00     0.2635E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.2773E-01     0.0000E+00     0.1351E+05     0.1278E+05     0.1351E+05     0.1161E-02
   366    12    31  2004       5       0  cha5                 0.3076E+00     0.8012E-01     0.3076E+00     0.9765E+00     0.7289E+01     0.5059E+01     0.3644E+01     0.0000E+00     0.3537E+01     0.0000E+00     0.1415E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.6949E-01     0.0000E+00     0.1691E+05     0.4405E+04     0.1691E+05     0.2656E-02
   366    12    31  2004       6       0  cha6                 0.3537E+00     0.2362E-01     0.3537E+00     0.9463E+00     0.8418E+01     0.5897E+01     0.4209E+01     0.0000E+00     0.3426E+01     0.0000E+00     0.1688E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6248E-01     0.0000E+00     0.1288E+05     0.8600E+03     0.1288E+05     0.1172E-02
   365    12    31  2005       1       0  cha1                 0.1902E-01     0.1737E-01     0.1905E-01     0.8226E-01     0.3836E+01     0.2349E+01     0.1918E+01     0.0000E+00     0.1918E+01     0.0000E+00     0.4310E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.5096E-01     0.0000E+00     0.3837E+04     0.3504E+04     0.3841E+04     0.5521E-03
   365    12    31  2005       2       0  cha2                 0.5368E-01     0.4519E-01     0.5368E-01     0.2591E+00     0.2701E-01     0.1503E+00     0.1351E-01     0.0000E+00     0.1350E-01     0.0000E+00     0.1368E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4492E-01     0.0000E+00     0.4743E+05     0.3993E+05     0.4743E+05     0.5776E-04
   365    12    31  2005       3       0  cha3                 0.9055E-01     0.3029E-01     0.9056E-01     0.4031E+00     0.3499E+00     0.2718E+01     0.1749E+00     0.0000E+00     0.1749E+00     0.2196E+00     0.2324E+01     0.0000E+00     0.1292E+01     0.2392E+00     0.5260E-02     0.5977E-02     0.2623E+00     0.0000E+00     0.2316E+05     0.7748E+04     0.2316E+05     0.1405E-02
   365    12    31  2005       4       0  cha4                 0.6181E-01     0.5888E-01     0.6181E-01     0.2605E+00     0.2192E+01     0.1488E+01     0.1096E+01     0.0000E+00     0.1086E+01     0.0000E+00     0.3917E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.4107E-01     0.0000E+00     0.1046E+05     0.9962E+04     0.1046E+05     0.1069E-02
   365    12    31  2005       5       0  cha5                 0.2387E+00     0.6976E-01     0.2387E+00     0.7579E+00     0.4984E+01     0.4570E+01     0.2492E+01     0.0000E+00     0.2346E+01     0.0000E+00     0.2077E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1024E+00     0.0000E+00     0.1309E+05     0.3825E+04     0.1309E+05     0.3696E-02
   365    12    31  2005       6       0  cha6                 0.2797E+00     0.2166E-01     0.2797E+00     0.7485E+00     0.9355E+01     0.7442E+01     0.4677E+01     0.0000E+00     0.3518E+01     0.0000E+00     0.2765E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1026E+00     0.0000E+00     0.1016E+05     0.7862E+03     0.1016E+05     0.1829E-02
   365    12    31  2006       1       0  cha1                 0.2546E-03     0.0000E+00     0.2553E-03     0.1101E-02     0.2241E-02     0.1120E-02     0.1120E-02     0.0000E+00     0.1120E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.5135E+02     0.0000E+00     0.5149E+02     0.2049E-04
   365    12    31  2006       2       0  cha2                 0.1701E-01     0.1245E-01     0.1701E-01     0.8213E-01     0.5405E-06     0.3153E+00     0.2702E-06     0.0000E+00     0.1784E-06     0.0000E+00     0.3153E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1036E+00     0.0000E+00     0.1503E+05     0.1100E+05     0.1503E+05     0.1318E-03
   365    12    31  2006       3       0  cha3                 0.3517E-01     0.1801E-01     0.3517E-01     0.1566E+00     0.1824E-04     0.5055E+01     0.9119E-05     0.0000E+00     0.2870E-06     0.0000E+00     0.5055E+01     0.0000E+00     0.1292E+01     0.2392E+00     0.5260E-02     0.0000E+00     0.5762E+00     0.0000E+00     0.8997E+04     0.4608E+04     0.8997E+04     0.3891E-02
