 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
    366    12    31  2024      1       0  rtu001                 0.006       0.049       0.005       0.375       0.042       0.254       0.000       0.015       0.000      10.344       0.000       0.000
    366    12    31  2024      2       0  rtu002                 0.006       0.049       0.005       0.380       0.040       0.267       0.000       0.015       0.000       9.986       0.000       0.000
    366    12    31  2024      3       0  rtu003                 0.000       0.000       0.000       0.000       0.065       0.000       0.000       0.000       0.000      15.708       0.000       0.000
    366    12    31  2024      4       0  rtu004                 0.000       0.002       0.000       0.009       6.479       0.003       0.000       0.001       0.000      12.197       0.000       0.000
    366    12    31  2024      5       0  rtu005                 0.000       0.000       0.000       0.000       0.294       0.001       0.000       0.000       0.000      18.646       0.000       0.000
    366    12    31  2024      6       0  rtu006                 0.000       0.002       0.000       0.013       5.498       0.005       0.000       0.000       0.000      13.261       0.000       0.000
    366    12    31  2024      7       0  rtu007                 0.000       0.000       0.000       0.000       0.188       0.002       0.000       0.000       0.000      18.753       0.000       0.000
    366    12    31  2024      8       0  rtu008                 0.000       0.002       0.000       0.008       6.643       0.003       0.000       0.000       0.000      12.014       0.000       0.000
    366    12    31  2024      9       0  rtu009                 0.001       0.005       0.001       0.055       0.013       0.038       0.000       0.002       0.000      26.071       0.000       0.000
    366    12    31  2024     10       0  rtu010                 0.000       0.000       0.000       0.000       0.179       0.002       0.000       0.000       0.000      18.761       0.000       0.000
    366    12    31  2024     11       0  rtu011                 0.000       0.000       0.000       0.000       0.186       0.002       0.000       0.000       0.000      18.757       0.000       0.000
    366    12    31  2024     12       0  rtu012                 0.000       0.000       0.000       0.000       0.075       0.002       0.000       0.000       0.000      18.870       0.000       0.000
    366    12    31  2024     13       0  rtu013                 0.000       0.000       0.000       0.000       0.232       0.002       0.000       0.000       0.000      18.711       0.000       0.000
    366    12    31  2024     14       0  rtu014                 0.000       0.000       0.000       0.000       0.211       0.002       0.000       0.000       0.000      18.732       0.000       0.000
    366    12    31  2024     15       0  rtu015                 0.000       0.000       0.000       0.000       0.307       0.001       0.000       0.000       0.000      18.635       0.000       0.000
    366    12    31  2024     16       0  rtu016                 0.000       0.001       0.000       0.013       0.052       0.012       0.000       0.000       0.000      20.512       0.000       0.000
    366    12    31  2024     17       0  rtu017                 0.000       0.000       0.000       0.000       0.092       0.000       0.000       0.000       0.000      15.502       0.000       0.000
    366    12    31  2024     18       0  rtu018                 0.001       0.008       0.001       0.024       0.055       0.161       0.000       0.003       0.000      18.471       0.000       0.000
    366    12    31  2024     19       0  rtu019                 0.001       0.013       0.001       0.077       0.153       0.130       0.000       0.004       0.000      19.100       0.000       0.000
    366    12    31  2024     20       0  rtu020                 0.001       0.005       0.001       0.006       0.070       0.057       0.000       0.002       0.000      17.495       0.000       0.000
    366    12    31  2024     21       0  rtu021                 0.000       0.000       0.000       0.000       0.040       0.000       0.000       0.000       0.000      15.648       0.000       0.000
    366    12    31  2024     22       0  rtu022                 0.000       0.000       0.000       0.000       0.036       0.000       0.000       0.000       0.000      15.653       0.000       0.000
    366    12    31  2024     23       0  rtu023                 0.000       0.000       0.000       0.000       0.297       0.000       0.000       0.000       0.000      20.121       0.000       0.000
    366    12    31  2024     24       0  rtu024                 0.000       0.000       0.000       0.000       0.240       0.000       0.000       0.000       0.000      20.139       0.000       0.000
