 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2005 rtu011          ru      ru          241 tot   1.000000       16.56990      2.5203789E-07  8.9531468E-08  2.6859431E-07  7.2171219E-02  8.9531468E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5203801E-04  2.5203801E-04  2.5203801E-04  2.5203801E-04  2.5203801E-04  0.0000000E+00   960.0154    
         365          12          31        2005 rtu011          ru      aqu           1 rhg   1.000000       1105.630      0.0000000E+00  0.0000000E+00  0.0000000E+00   7.189065      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.213179    
         365          12          31        2005 rtu012          ru      ru          253 tot   1.000000       11.67607      2.3566709E-07  1.4475613E-07  4.3426849E-07  5.4291800E-02  1.4475613E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3566707E-04  2.3566707E-04  2.3566707E-04  2.3566707E-04  2.3566707E-04  0.0000000E+00   2571.997    
         365          12          31        2005 rtu012          ru      aqu           1 rhg   1.000000       1930.545      0.0000000E+00  0.0000000E+00  0.0000000E+00   12.53823      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.121372    
         365          12          31        2005 rtu013          ru      ru          253 tot   1.000000       122.8606      2.9514743E-07  6.2538516E-07  1.8761551E-06  0.6942998      6.2538516E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.9514742E-04  2.9514742E-04  2.9514742E-04  2.9514742E-04  2.9514742E-04  0.0000000E+00   10.17687    
         365          12          31        2005 rtu013          ru      aqu           1 rhg   1.000000       6568.086      0.0000000E+00  0.0000000E+00  0.0000000E+00   42.72681      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.035012    
         365          12          31        2005 rtu014          ru      ru          253 tot  0.5197700       14.12325      1.3691471E-07  7.0333080E-08  2.1099915E-07  6.4843662E-02  7.0333080E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.3691462E-04  1.3691462E-04  1.3691462E-04  1.3691462E-04  1.3691462E-04  0.0000000E+00   417.3405    
         365          12          31        2005 rtu014          ru      ru          309 tot  0.4802300       13.04886      1.2649929E-07  6.4982686E-08  1.9494806E-07  5.9910864E-02  6.4982686E-08  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.2649925E-04  1.2649925E-04  1.2649925E-04  1.2649925E-04  1.2649925E-04  0.0000000E+00   444.6176    
         365          12          31        2005 rtu014          ru      aqu           1 rhg   1.000000       1595.275      0.0000000E+00  0.0000000E+00  0.0000000E+00   10.37569      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.146349    
         365          12          31        2005 rtu015          ru      ru          240 tot   1.000000       1484.465      2.2985054E-07  4.4635854E-06  1.3390750E-05   8.412662      4.4635854E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2985070E-04  2.2985070E-04  2.2985070E-04  2.2985070E-04  2.2985070E-04  0.0000000E+00   1.225958    
         365          12          31        2005 rtu015          ru      aqu           1 rhg   1.000000       59798.94      0.0000000E+00  0.0000000E+00  0.0000000E+00   389.2401      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.003816    
         365          12          31        2005 rtu017          ru      ru            9 tot   1.000000       306.4545      2.5618732E-07  2.6682524E-06  8.0047612E-06   1.219702      2.6682524E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5618731E-04  2.5618731E-04  2.5618731E-04  2.5618731E-04  2.5618731E-04  0.0000000E+00   2.287062    
         365          12          31        2005 rtu017          ru      aqu           1 rhg   1.000000       33282.36      0.0000000E+00  0.0000000E+00  0.0000000E+00   128.2633      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.006242    
         365          12          31        2005 rtu021          ru      ru          126 tot   1.000000       9.527260      2.5802692E-07  1.9087022E-07  5.7261082E-07  3.2369684E-02  1.9087022E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.5802688E-04  2.5802688E-04  2.5802688E-04  2.5802688E-04  2.5802688E-04  0.0000000E+00   2397.792    
