 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake                gwsoiln          gwsoilp
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha                    kgha             kgha
   365    12    31  2021      30       0  rtu030                 0.000       0.000     -16.562     -31.328            0.000            0.000            0.000            0.015           15.026           -1.074            2.494           55.612            5.460            6.578            5.606           71.577            8.333            0.000            0.000
   365    12    31  2021      31       0  rtu031                 0.000       0.000     -28.491     -39.815            0.000            0.000            0.000            0.118           10.179            1.807            1.664           49.341            5.134            6.578            5.606           58.418            7.391            0.000            0.000
   365    12    31  2021      32       0  rtu032                 0.000       0.000     -14.588     -28.683            0.000            0.000            0.000            6.514           13.721           -9.894            2.342            6.870            1.256            6.545            5.575           12.400            2.200            0.000            0.000
   365    12    31  2021      33       0  rtu033                 0.000       0.000     -25.503     -38.280            0.000            0.000            0.000            0.040            8.748           -5.093            1.491           10.829            1.987            6.578            5.606           23.271            4.036            0.000            0.000
   365    12    31  2021      34       0  rtu034                 0.000       0.000     -35.756     -45.088            0.000            0.000            0.000            0.064           13.571           -8.102            2.311           15.195            2.436            6.578            5.606           34.964            6.248            0.000            0.000
   365    12    31  2021      35       0  rtu035                 0.000       0.000     -32.153     -41.749            0.000            0.000            0.000            0.023            9.440           -4.927            1.604           14.019            2.306            6.578            5.606           31.253            5.875            0.000            0.000
   365    12    31  2021      36       0  rtu036                 0.000       0.000     -32.228     -41.776            0.000            0.000            0.000            0.024            9.443           -4.926            1.605           14.020            2.306            6.578            5.606           31.256            5.875            0.000            0.000
   365    12    31  2021      37       0  rtu037                 0.000       0.000     -39.776     -47.790            0.000            0.000            0.000            0.005           13.986           -8.443            2.381           14.759            2.321            6.578            5.606           33.396            5.887            0.000            0.000
   365    12    31  2021      38       0  rtu038                 0.000       0.000     -32.190     -41.760            0.000            0.000            0.000            0.023            9.442           -4.926            1.605           14.020            2.306            6.578            5.606           31.255            5.875            0.000            0.000
   365    12    31  2021      39       0  rtu039                 0.000       0.000     -32.141     -41.746            0.000            0.000            0.000            0.023            9.440           -4.927            1.604           14.019            2.306            6.578            5.606           31.253            5.875            0.000            0.000
   365    12    31  2021      40       0  rtu040                 0.000       0.000     -15.517     -28.842            0.000            0.000            0.000            6.077           14.534          -10.203            2.479            8.551            1.202            6.545            5.575           13.408            1.886            0.000            0.000
   365    12    31  2021      41       0  rtu041                 0.000       0.000     -30.296     -40.719            0.000            0.000            0.000            0.013            9.387           -4.808            1.595           14.406            2.363            6.578            5.606           31.881            5.955            0.000            0.000
