 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null     water_temp
                                                                      ha            m^3            m^3            m^3             m^3           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                          degc
   365    12    31  2006       4       0  cha4                 0.4855E+00     0.3335E+04     0.1279E+04     0.1532E+04     0.1557E+04     0.1958E-03     0.1350E-02     0.6612E-03     0.1788E+01     0.4991E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1557E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.4663E-01     0.9285E-01     0.3281E+00     0.1611E+00     0.8840E+03     0.6525E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6774E-01     0.2437E-02     0.2655E-02     0.1459E-01     0.1394E-01     0.0000E+00     0.1446E+01     0.4663E-01     0.2463E+00     0.3265E+00     0.1603E+00     0.8827E+03     0.6467E+02     0.0000E+00     0.7165E-04     0.0000E+00     0.0000E+00     0.1469E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1205E+02     0.9321E+01
   365    12    31  2006       5       0  cha5                 0.6194E+00     0.4254E+04     0.2593E+04     0.2261E+04     0.2419E+04     0.2516E-03     0.1911E-02     0.2325E-02     0.3085E+01     0.3923E+00     0.2387E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.2419E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.1453E+00     0.4338E+01     0.1141E+01     0.2464E+01     0.5180E+04     0.3414E+03     0.7416E+01     0.1365E-03     0.0000E+00     0.0000E+00     0.2631E+01     0.7790E-01     0.3560E-02     0.3807E-02     0.1739E-01     0.1665E-01     0.0000E+00     0.1085E+01     0.1453E+00     0.3369E+01     0.1140E+01     0.2464E+01     0.5177E+04     0.3410E+03     0.7416E+01     0.2688E-03     0.0000E+00     0.0000E+00     0.4579E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8084E+01     0.9321E+01
   365    12    31  2006       6       0  cha6                 0.2098E+00     0.1441E+04     0.8783E+03     0.7656E+03     0.9474E+03     0.8971E-04     0.1255E-02     0.1148E-02     0.1306E+01     0.1520E+00     0.9053E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.9474E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.9321E+01     0.1634E+00     0.3575E+01     0.1623E+01     0.2696E+01     0.5926E+04     0.3411E+03     0.7416E+01     0.3814E-03     0.0000E+00     0.0000E+00     0.4624E+01     0.8418E-01     0.2568E-02     0.2840E-02     0.1775E-01     0.1694E-01     0.0000E+00     0.1077E+01     0.1634E+00     0.3649E+01     0.1622E+01     0.2695E+01     0.5925E+04     0.3409E+03     0.7416E+01     0.3564E-03     0.0000E+00     0.0000E+00     0.5152E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8123E+01     0.9321E+01
   365    12    31  2007       1       0  cha1                 0.2647E+00     0.2514E+04     0.5399E+03     0.7913E+03     0.8404E+03     0.2036E-02     0.1933E-07     0.3811E-22     0.6776E+00     0.5585E-17     0.0000E+00     0.1313E-21     0.0000E+00     0.0000E+00     0.8396E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.2134E-01     0.4740E+00     0.2871E+02     0.5070E+01     0.1271E+04     0.5072E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5573E+00     0.7313E-02     0.8873E-02     0.7270E-01     0.7193E-01     0.0000E+00     0.2425E+01     0.2132E-01     0.7137E+00     0.2871E+02     0.5070E+01     0.1273E+04     0.5072E+01     0.0000E+00     0.7213E-04     0.0000E+00     0.0000E+00     0.6718E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1629E+02     0.7024E+01
   365    12    31  2007       2       0  cha2                 0.9209E-01     0.8748E+03     0.3784E+03     0.3361E+03     0.3091E+03     0.2780E-07     0.1453E-09     0.0000E+00     0.2221E+00     0.1168E-27     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.7000E-01     0.1403E-02     0.1395E-01     0.5215E-02     0.3320E+04     0.1514E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1076E-02     0.6186E-03     0.6289E-03     0.1454E-02     0.9920E-03     0.0000E+00     0.1373E+01     0.7000E-01     0.4520E+00     0.1395E-01     0.5192E-02     0.3321E+04     0.1515E+02     0.0000E+00     0.4055E-04     0.0000E+00     0.0000E+00     0.2207E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8831E+01     0.7024E+01
   365    12    31  2007       3       0  cha3                 0.3673E+00     0.3490E+04     0.1321E+04     0.1318E+04     0.1159E+04     0.7517E-02     0.2030E-07     0.1570E-07     0.8713E+00     0.5537E-05     0.1067E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.1158E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.1128E+00     0.3680E+00     0.7999E+01     0.3679E+01     0.2786E+04     0.2138E+03     0.3520E+02     0.2243E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1896E+00     0.2943E-01     0.3307E-01     0.3219E+00     0.1603E+00     0.0000E+00     0.1261E+01     0.1128E+00     0.2855E+01     0.7998E+01     0.3679E+01     0.2785E+04     0.2139E+03     0.3521E+02     0.1103E-03     0.0000E+00     0.0000E+00     0.3554E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8212E+01     0.7024E+01
   365    12    31  2007       4       0  cha4                 0.4855E+00     0.4612E+04     0.1953E+04     0.1723E+04     0.1557E+04     0.3915E-06     0.1379E-07     0.1668E-29     0.1130E+01     0.1127E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1556E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.9199E-01     0.2742E+01     0.1501E+02     0.5835E+01     0.2184E+04     0.2397E+03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.2568E+01     0.6268E-01     0.7030E-01     0.6914E+00     0.5775E+00     0.0000E+00     0.1370E+01     0.9199E-01     0.2465E+01     0.1501E+02     0.5835E+01     0.2184E+04     0.2401E+03     0.0000E+00     0.3183E-04     0.0000E+00     0.0000E+00     0.2899E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.8938E+01     0.7024E+01
   365    12    31  2007       5       0  cha5                 0.6194E+00     0.5884E+04     0.2545E+04     0.2261E+04     0.2419E+04     0.1867E-02     0.3330E-07     0.1760E-08     0.1815E+01     0.1502E-03     0.1076E-05     0.0000E+00     0.0000E+00     0.0000E+00     0.2418E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.3084E+00     0.6310E+01     0.3012E+02     0.1895E+02     0.1167E+05     0.9137E+03     0.3521E+02     0.1422E-03     0.0000E+00     0.0000E+00     0.6453E+01     0.5640E+00     0.3957E-01     0.4476E-01     0.4271E+00     0.2451E+00     0.0000E+00     0.1085E+01     0.3084E+00     0.4146E+01     0.3013E+02     0.1895E+02     0.1166E+05     0.9140E+03     0.3524E+02     0.2747E-04     0.0000E+00     0.0000E+00     0.9722E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7113E+01     0.7024E+01
   365    12    31  2007       6       0  cha6                 0.2098E+00     0.1993E+04     0.8620E+03     0.7656E+03     0.9474E+03     0.4223E-03     0.1387E-07     0.9336E-11     0.7144E+00     0.5592E-04     0.4049E-06     0.0000E+00     0.0000E+00     0.0000E+00     0.9473E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7024E+01     0.3538E+00     0.6498E+01     0.6687E+02     0.2791E+02     0.1343E+05     0.9196E+03     0.3524E+02     0.9960E-04     0.0000E+00     0.0000E+00     0.1039E+02     0.1505E+01     0.2620E-01     0.3113E-01     0.3009E+00     0.2863E+00     0.0000E+00     0.1063E+01     0.3538E+00     0.5145E+01     0.6687E+02     0.2791E+02     0.1343E+05     0.9197E+03     0.3524E+02     0.2500E-04     0.0000E+00     0.0000E+00     0.1116E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.7003E+01     0.7024E+01
   366    12    31  2008       1       0  cha1                 0.2647E+00     0.2270E+04     0.6051E+03     0.7866E+03     0.8403E+03     0.2337E-02     0.2204E-07     0.2114E-10     0.1125E+01     0.6699E-09     0.0000E+00     0.5904E-10     0.0000E+00     0.0000E+00     0.8393E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1069E+01     0.1644E-01     0.2196E-02     0.7617E-02     0.4452E-02     0.1061E+04     0.1865E-01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3700E-02     0.1817E-02     0.1822E-02     0.2040E-02     0.2037E-02     0.0000E+00     0.6363E+01     0.1644E-01     0.5679E+00     0.7588E-02     0.4384E-02     0.1056E+04     0.1852E-01     0.0000E+00     0.7404E-04     0.0000E+00     0.0000E+00     0.5193E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.6996E+01     0.1069E+01
   366    12    31  2008       2       0  cha2                 0.9209E-01     0.7899E+03     0.3484E+03     0.3354E+03     0.3091E+03     0.3219E-07     0.1630E-09     0.0000E+00     0.3494E+00     0.1612E-07     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.3091E-03     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1069E+01     0.5716E-01     0.5420E-06     0.1176E-05     0.3528E-05     0.2225E+04     0.1212E+02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.5420E-03     0.5420E-03     0.5420E-03     0.5420E-03     0.5420E-03     0.0000E+00     0.1539E+01     0.5716E-01     0.1557E+00     0.1045E-05     0.2934E-06     0.2224E+04     0.1212E+02     0.0000E+00     0.4406E-04     0.0000E+00     0.0000E+00     0.1807E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1636E+01     0.1069E+01
   366    12    31  2008       3       0  cha3                 0.3673E+00     0.3151E+04     0.9588E+03     0.1112E+04     0.1158E+04     0.1317E-03     0.2128E-04     0.3861E-04     0.5525E+00     0.6079E-01     0.1273E-01     0.2928E-27     0.0000E+00     0.0000E+00     0.1158E-02     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1069E+01     0.9152E-01     0.5003E-04     0.1724E+00     0.2032E+00     0.2066E+04     0.1505E+03     0.2851E+02     0.1593E-04     0.0000E+00     0.0000E+00     0.0000E+00     0.1000E-02     0.1002E-02     0.1002E-02     0.1000E-02     0.1000E-02     0.0000E+00     0.1263E+01     0.9152E-01     0.3631E+01     0.1724E+00     0.2031E+00     0.2065E+04     0.1504E+03     0.2849E+02     0.4477E-04     0.0000E+00     0.0000E+00     0.2893E+01     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.0000E+00     0.1358E+01     0.1069E+01
