 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle     sedminp     tileno3     lchlabp    tilelabp      satexn
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        kgha        kgha        kgha        kgha        kgha
   365    12    31  2023      46       0  hru046                 0.000       0.001       0.000       8.108       0.218       1.865       0.000       0.001       0.000       0.073       0.000       0.000
   365    12    31  2023      47       0  hru047                 0.000       0.000       0.000      10.415       0.000       1.361       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      48       0  hru048                 0.000       0.000       0.000      11.545       0.000       1.188       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      49       0  hru049                 0.001       0.000       0.000      10.171       0.000       1.482       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      50       0  hru050                 0.002       0.000       0.000      10.171       0.000       1.482       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      51       0  hru051                 0.000       0.000       0.000      10.172       0.000       1.482       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      52       0  hru052                 0.000       0.000       0.000       8.534       0.002       2.008       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      53       0  hru053                 0.006       0.116       0.020       6.241       2.177       2.073       0.000       0.042       0.000       4.517       0.000       0.000
   365    12    31  2023      54       0  hru054                 0.000       0.000       0.000      10.171       0.000       1.482       0.000       0.000       0.000       0.000       0.000       0.000
   365    12    31  2023      55       0  hru055                 0.000       0.001       0.000       0.219       0.672       0.096       0.000       0.000       0.000       2.223       0.000       0.000
   365    12    31  2023      56       0  hru056                 0.000       0.000       0.000       0.000       4.648       0.000       0.000       0.000       0.000       0.825       0.000       0.000
   365    12    31  2023      57       0  hru057                 0.000       0.000       0.000       0.228       0.445       0.103       0.000       0.000       0.000       2.312       0.000       0.000
   365    12    31  2023      58       0  hru058                 0.000       0.001       0.000       0.322       0.737       0.265       0.000       0.000       0.000       2.570       0.000       0.000
   365    12    31  2023      59       0  hru059                 0.000       0.000       0.000       0.233       0.302       0.108       0.000       0.000       0.000       2.367       0.000       0.000
   365    12    31  2023      60       0  hru060                 0.000       0.001       0.000       0.115       2.273       0.054       0.000       0.000       0.000       2.448       0.000       0.000
   365    12    31  2023      61       0  hru061                 0.000       0.000       0.000       0.040       2.891       0.013       0.000       0.000       0.000       2.114       0.000       0.000
   365    12    31  2023      62       0  hru062                 0.000       0.000       0.000       0.281       4.861       0.673       0.000       0.000       0.000       2.575       0.000       0.000
   365    12    31  2023      63       0  hru063                 0.000       0.000       0.000       0.161       0.406       0.088       0.000       0.000       0.000       3.006       0.000       0.000
   365    12    31  2023      64       0  hru064                 0.000       0.000       0.000       0.000       5.345       0.000       0.000       0.000       0.000       0.545       0.000       0.000
   365    12    31  2023      65       0  hru065                 0.000       0.000       0.000       0.000       5.189       0.000       0.000       0.000       0.000       0.603       0.000       0.000
   365    12    31  2023      66       0  hru066                 0.000       0.000       0.000       0.000       5.623       0.000       0.000       0.000       0.000       0.449       0.000       0.000
   365    12    31  2023      67       0  hru067                 0.000       0.000       0.000       0.000       4.082       0.000       0.000       0.000       0.000       0.744       0.000       0.000
   365    12    31  2023      68       0  hru068                 0.000       0.000       0.000       0.000       4.202       0.000       0.000       0.000       0.000       1.019       0.000       0.000
   365    12    31  2023      69       0  hru069                 0.000       0.000       0.000       0.000       3.560       0.000       0.000       0.000       0.000       1.300       0.000       0.000
   365    12    31  2023      70       0  hru070                 0.000       0.000       0.000       0.000       2.998       0.000       0.000       0.000       0.000       1.546       0.000       0.000
   365    12    31  2023      71       0  hru071                 0.000       0.000       0.000       0.000       2.688       0.000       0.000       0.000       0.000       1.680       0.000       0.000
   365    12    31  2023      72       0  hru072                 0.000       0.000       0.000       0.000       3.744       0.000       0.000       0.000       0.000       1.221       0.000       0.000
   365    12    31  2023      73       0  hru073                 0.000       0.000       0.000       0.743       0.460       0.693       0.000       0.000       0.000       5.108       0.000       0.000
   365    12    31  2023      74       0  hru074                 0.000       0.000       0.000       0.240       0.294       0.114       0.000       0.000       0.000       2.339       0.000       0.000
   365    12    31  2023      75       0  hru075                 0.000       0.000       0.000       0.281       0.333       0.182       0.000       0.000       0.000       2.488       0.000       0.000
   365    12    31  2023      76       0  hru076                 0.000       0.000       0.000       0.025       2.353       0.005       0.000       0.000       0.000       2.493       0.000       0.000
   365    12    31  2023      77       0  hru077                 0.000       0.000       0.000       0.001       5.215       0.000       0.000       0.000       0.000       2.924       0.000       0.000
   365    12    31  2023      78       0  hru078                 0.000       0.000       0.000       0.000       3.465       0.000       0.000       0.000       0.000       1.954       0.000       0.000
   365    12    31  2023      79       0  hru079                 0.000       0.000       0.000       0.383       7.396       0.289       0.000       0.000       0.000       5.867       0.000       0.000
   365    12    31  2023      80       0  hru080                 0.000       0.000       0.000       0.000       3.702       0.000       0.000       0.000       0.000       0.908       0.000       0.000
   365    12    31  2023      81       0  hru081                 0.000       0.000       0.000       1.238       7.650       1.268       0.000       0.000       0.000       7.058       0.000       0.000
   365    12    31  2023      82       0  hru082                 0.000       0.000       0.000       0.056       5.297       0.058       0.000       0.000       0.000       4.300       0.000       0.000
   365    12    31  2023      83       0  hru083                 0.000       0.000       0.000       0.032       4.469       0.045       0.000       0.000       0.000       3.885       0.000       0.000
   365    12    31  2023      84       0  hru084                 0.000       0.000       0.000       0.000       2.454       0.000       0.000       0.000       0.000       1.944       0.000       0.000
   365    12    31  2023      85       0  hru085                 0.000       0.000       0.000       0.000       2.535       0.000       0.000       0.000       0.000       1.340       0.000       0.000
   365    12    31  2023      86       0  hru086                 0.000       0.000       0.000       0.478       0.740       0.585       0.000       0.000       0.000       4.230       0.000       0.000
   365    12    31  2023      87       0  hru087                 0.000       0.000       0.000       1.778       9.216       1.219       0.000       0.000       0.000      10.187       0.000       0.000
   365    12    31  2023      88       0  hru088                 0.000       0.000       0.000       0.000       1.589       0.000       0.000       0.000       0.000       1.870       0.000       0.000
   365    12    31  2023      89       0  hru089                 0.000       0.000       0.000       0.001       4.644       0.001       0.000       0.000       0.000       2.667       0.000       0.000
