Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.665,1.256,0.558,0.402,0.103,0.005,0.001,0,0.004,13329.242,338.339,0.042,0.05,0.624,0.211,0
1.727,1.218,0.538,0.401,0.128,0.009,0.002,0,0.006,17015.935,190.153,0.056,0.052,0.791,0.151,0
