pota_ha,barl_ha,csil_ha,fesc_ha,wwht_ha,oats_ha,canp_ha,lupn_ha,pota_yld_t_ha,barl_yld_t_ha,csil_yld_t_ha,fesc_yld_t_ha,wwht_yld_t_ha,oats_yld_t_ha,canp_yld_t_ha,lupn_yld_t_ha
215.94,86.74,17.47,275.69,236.42,152.76,243.71,147.99,6.89,4.04,8.73,0.84,2.26,2.96,4.36,0.91
215.94,86.74,17.47,275.69,236.42,152.76,243.71,147.99,6.67,4.02,8.68,0.86,2.25,2.93,4.26,0.9
