Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.611,1.243,0.556,0.353,0.097,0.004,0.001,0,0.003,13068.668,370.677,0.047,0.05,0.611,0.237,0.001
1.447,1.184,0.52,0.342,0.121,0.009,0.001,0,0.005,14549.538,218.167,0.064,0.049,0.78,0.177,0.001
