Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.525,1.249,0.559,0.354,0.101,0.005,0.001,0,0.004,9731.239,316.108,0.043,0.05,0.61,0.228,0.002
1.472,1.183,0.524,0.343,0.125,0.01,0.002,0,0.006,8876.018,197.779,0.057,0.049,0.78,0.168,0.001
