Q_max,Q_max_aa,Q_p95,Q_p90,Q_p50,Q_p10,Q_p05,Q_min,Q_min_aa,Q_maxmin,Q_maxmin_aa,Q_low_days,Q_high_days,Nconc_days,Pconc_days,Sedconc_days
1.663,1.247,0.56,0.41,0.1,0.005,0.001,0,0.004,26125.274,322.668,0.046,0.05,0.646,0.217,0
1.762,1.221,0.542,0.405,0.124,0.009,0.001,0,0.006,31365.362,207.185,0.063,0.053,0.802,0.16,0
