pota_ha,barl_ha,csil_ha,fesc_ha,wwht_ha,oats_ha,canp_ha,lupn_ha,pota_yld_t_ha,barl_yld_t_ha,csil_yld_t_ha,fesc_yld_t_ha,wwht_yld_t_ha,oats_yld_t_ha,canp_yld_t_ha,lupn_yld_t_ha
215.94,86.74,22.32,257.72,236.42,163.87,243.71,141.01,6.88,4.01,8.81,0.9,2.26,2.96,4.37,0.92
215.94,86.74,22.32,257.72,236.42,163.87,243.71,141.01,6.65,3.99,8.74,0.93,2.25,2.93,4.26,0.91
