 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
   365    12    31  2023      46       0  hru046                 1.685   62332.730       0.000    2100.585       7.776      37.818       0.000     163.281     139.357       0.000       0.000      69.076       0.347      27.526      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      47       0  hru047                 1.089   41467.871       0.000    1176.216       8.309     104.580       0.000     163.281       3.464       0.000       0.000     107.230       0.000      22.685      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      48       0  hru048                 1.101   40713.914       0.000    1150.881       8.362     105.702       0.000     163.281       0.156       0.000       0.000     114.247       0.000      21.973      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      49       0  hru049                 1.122   41907.078       0.000    1218.465       8.306     109.714       0.000     163.281       4.049       0.000       0.000     109.082       0.000      22.876      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      50       0  hru050                 1.122   41907.207       0.000    1218.469       8.306     109.714       0.000     163.281       4.049       0.000       0.000     109.082       0.000      22.876      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      51       0  hru051                 1.122   41905.359       0.000    1218.413       8.306     109.714       0.000     163.281       4.048       0.000       0.000     109.079       0.000      22.873      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      52       0  hru052                 1.630   63913.203       0.000    2099.418       8.076      47.346       0.000     163.281     120.620       0.000       0.000      75.148       0.000      28.787      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      53       0  hru053                 1.685   54666.086       0.000    1864.380       8.373       1.475      95.029     163.281     166.767       0.000       0.000      60.480       1.219      24.193      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      54       0  hru054                 1.122   41907.383       0.000    1218.475       8.306     109.715       0.000     163.281       4.049       0.000       0.000     109.083       0.000      22.876      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      55       0  hru055                 0.257     747.784      39.804      23.237       8.486       0.000      21.064      63.976       0.000       0.041       0.000       9.770       6.956       1.628      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      56       0  hru056                 0.228     708.537      67.795      21.384       8.567       0.000       0.103      64.115       0.000       0.015       0.000       5.281       0.964       0.855      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      57       0  hru057                 0.246     726.920      33.852      22.572       8.493       0.000      25.521      64.129       0.000       0.020       0.000      10.186       7.672       1.721      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      58       0  hru058                 0.323     670.601      69.354      21.387       8.493       0.005      28.929      64.238       0.000       0.119       0.000       9.274       6.933       1.490      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      59       0  hru059                 0.257     734.232      68.803      22.789       8.493       0.000      27.943      64.077       0.000       0.006       0.000       5.166       8.081       0.837      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      60       0  hru060                 0.303     725.183      38.494      22.547       8.499       0.000      23.333      63.965       0.000       0.045       0.000      10.089       5.011       1.615      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      61       0  hru061                 0.330     671.850      69.006      21.352       8.424       0.000       2.058      64.065       0.000       0.089       0.000       8.313       3.166       1.337      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      62       0  hru062                 0.342     665.507      69.182      21.230       8.448       0.000       8.511      64.154       0.003       0.095       0.000       8.005       2.328       1.286      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      63       0  hru063                 0.314     660.805      37.457      20.850       8.514       0.000      39.633      64.112       0.000       0.072       0.000       9.329       8.441       1.494      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      64       0  hru064                 0.272     723.919      68.319      22.473       8.568       0.000       0.023      64.170       0.000       0.020       0.000       4.034       0.579       0.646      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      65       0  hru065                 0.295     722.427      71.827      22.286       8.567       0.000       0.027      64.128       0.000       0.011       0.000       5.299       0.645       0.851      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      66       0  hru066                 0.269     717.860      67.756      22.442       8.568       0.000       0.020      64.162       0.000       0.020       0.000       3.964       0.464       0.636      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      67       0  hru067                 0.264     758.014      39.109      23.439       8.424       0.000       0.000      63.990       0.000       0.040       0.000      10.651       1.204       1.709      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      68       0  hru068                 0.235     734.745      68.416      22.337       8.567       0.000       0.244      64.120       0.000       0.010       0.000       5.386       1.278       0.867      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      69       0  hru069                 0.236     748.493      34.876      22.775       8.570       0.000       0.734      63.997       0.000       0.052       0.000      10.413       1.867       1.669      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      70       0  hru070                 0.366     694.340      67.427      21.770       8.568       0.000       1.871      64.098       0.000       0.116       0.000       9.760       2.373       1.563      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      71       0  hru071                 0.218     725.923      67.844      22.426       8.572       0.000       3.228      64.081       0.000       0.020       0.000       3.951       2.871       0.633      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      72       0  hru072                 0.275     720.998      67.782      22.221       8.568       0.000       0.525      64.130       0.000       0.010       0.000       5.216       1.667       0.837      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      73       0  hru073                 0.275     565.483       0.000      17.334       8.542       0.000      59.011      64.094       0.000       0.097       0.000       7.593       8.402       1.214      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      74       0  hru074                 0.297     749.422      34.172      23.474       8.498       0.000      29.528      64.004       0.000       0.015       0.000      10.700       8.148       1.730      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      75       0  hru075                 0.228     706.625      33.599      21.718       8.498       0.000      30.855      64.168       0.000       0.025       0.000      10.246       8.114       1.644      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      76       0  hru076                 0.276     726.192      68.777      22.788       8.438       0.000       5.989      64.151       0.000       0.012       0.000       5.170       4.048       0.852      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      77       0  hru077                 0.302     707.407      68.763      22.271       8.458       0.000      23.004      64.184       0.025       0.006       0.000       5.178       2.316       0.836      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      78       0  hru078                 0.204     736.296      34.505      22.525       8.439       0.000       7.287      64.034       0.000       0.052       0.000      10.526       2.732       1.685      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      79       0  hru079                 0.285     439.422       0.000      13.986       8.553       0.000      63.203      64.177       0.095       0.216       0.000       4.608       3.571       0.741      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      80       0  hru080                 0.289     717.948      67.782      22.444       8.424       0.000       0.010      64.282       0.000       0.013       0.000       5.043       1.538       0.843      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      81       0  hru081                 0.235     195.190       0.000       6.332       8.558       0.000      65.761      64.068       0.003       0.369       0.000       1.648       3.331       0.275      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      82       0  hru082                 0.264     606.858       0.000      18.555       8.498       0.000      49.450      64.162       0.028       0.062       0.000       9.348       3.264       1.506      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      83       0  hru083                 0.264     580.975      33.966      17.985       8.494       0.000      51.209      64.149       0.099       0.189       0.000       7.396       3.913       1.202      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      84       0  hru084                 0.253     710.997      68.254      21.929       8.436       0.000       4.793      64.119       0.000       0.013       0.000       5.222       3.643       0.852      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      85       0  hru085                 0.267     728.593      68.624      22.872       8.425       0.000       0.280      64.108       0.000       0.019       0.000       4.088       2.913       0.654      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      86       0  hru086                 0.252     548.761      33.879      17.281       8.528       0.000      52.357      64.107       0.000       0.196       0.000       7.120       8.103       1.163      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      87       0  hru087                 0.416     259.020       0.000       8.346       8.630       0.000      66.703      64.219       0.038       0.358       0.000       2.293       3.531       0.372      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      88       0  hru088                 0.280     667.303      67.674      20.224       8.456       0.000       5.275      64.165       0.000       0.104       0.000       8.903       1.956       1.427      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      89       0  hru089                 0.320     642.630      68.532      20.121       8.442       0.000      15.761      64.159       0.002       0.153       0.000       8.845       2.799       1.422      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      90       0  hru090                 0.298     742.452      69.115      23.451       8.440       0.000      11.254      64.194       0.000       0.009       0.000       5.380       2.694       0.863      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      91       0  hru091                 0.298     663.354      67.703      20.464       8.456       0.000       5.653      64.216       0.000       0.095       0.000       8.214       2.460       1.318      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      92       0  hru092                 0.238     686.907      38.024      21.422       8.513       0.000      38.181      64.027       0.000       0.055       0.000       9.573       7.786       1.537      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      93       0  hru093                 0.299     683.903      34.794      21.207       8.463       0.000      23.438      64.147       0.000       0.027       0.000      10.626       3.018       1.699      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      94       0  hru094                 0.247     713.586      68.171      21.687       8.455       0.000       3.922      64.126       0.000       0.018       0.000       5.203       2.220       0.835      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      95       0  hru095                 0.198     729.962      34.562      22.413       8.500       0.000      23.201      64.040       0.000       0.053       0.000      10.152       6.937       1.627      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      96       0  hru096                 0.291     734.850      68.187      22.457       8.468       0.000      13.054      64.218       0.004       0.010       0.000       4.778       1.677       0.829      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      97       0  hru097                 0.207     720.221      68.046      21.600       8.448       0.000       0.058      64.097       0.000       0.020       0.000       4.029       0.680       0.643      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      98       0  hru098                 0.291     744.101      39.272      23.194       8.500       0.000      24.073      64.102       0.000       0.041       0.000      10.257       6.417       1.641      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023      99       0  hru099                 0.235     416.403       0.000      13.274       8.548       0.000      61.394      64.012       0.000       0.267       0.000       5.706       7.737       0.916      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023     100       0  hru100                 0.236     318.558       0.000      10.427       8.572       0.000      63.019      64.045       0.000       0.331       0.000       3.799       8.105       0.607      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
   365    12    31  2023     101       0  hru101                 0.274     755.998      68.735      23.201       8.417       0.000       0.587      64.079       0.000       0.017       0.000       5.160       1.812       0.828      12.744       5.267       9.005      10.786       4.202       0.810       0.475       0.000       0.000       0.000       0.000
