FID,Shape *,id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
59,Polygon,60,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
60,Polygon,61,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
61,Polygon,62,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
62,Polygon,63,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
63,Polygon,64,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
64,Polygon,65,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
65,Polygon,66,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
66,Polygon,67,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
67,Polygon,68,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
68,Polygon,69,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
69,Polygon,70,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
70,Polygon,71,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
71,Polygon,72,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
72,Polygon,73,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
73,Polygon,74,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
74,Polygon,75,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
75,Polygon,76,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
76,Polygon,77,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
77,Polygon,78,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
78,Polygon,79,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
79,Polygon,80,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
80,Polygon,81,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
81,Polygon,82,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
82,Polygon,83,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
83,Polygon,84,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
84,Polygon,85,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
85,Polygon,86,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
86,Polygon,87,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
87,Polygon,88,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
88,Polygon,89,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
89,Polygon,90,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
90,Polygon,91,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
91,Polygon,92,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
92,Polygon,93,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
93,Polygon,94,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
94,Polygon,95,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
95,Polygon,96,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
96,Polygon,97,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
97,Polygon,98,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
98,Polygon,99,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
99,Polygon,100,fesc, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0
