date,value
2007-08-27,0.022
2007-08-28,0.016
2007-08-29,0.025571429
2007-08-30,0.056
2007-08-31,0.096666667
2007-09-01,0.083285714
2007-09-02,0.0505
2007-09-03,0.020166667
2007-09-04,0.011
2007-09-05,0.01975
2007-09-06,0.026
2007-09-07,0.065315789
2007-09-08,0.124571429
2007-09-09,0.044636364
2007-09-10,0.027333333
2007-09-11,0.026
2007-09-12,0.024333333
2007-09-13,0.021
2007-09-14,0.021
2007-09-15,0.017666667
2007-09-16,0.016
2007-09-17,0.012666667
2007-09-18,0.020666667
2007-09-19,0.213875
2007-09-20,0.07715
2007-09-21,0.0302
2007-09-22,0.026
2007-09-23,0.026
2007-09-24,0.022666667
2007-09-25,0.021
2007-09-26,0.021
2007-09-27,0.029888889
2007-09-28,0.750487805
2007-09-29,0.300457143
2007-09-30,0.0775
2007-10-01,0.04
2007-10-02,0.031666667
2007-10-03,0.027333333
2007-10-04,0.026
2007-10-05,0.026
2007-10-06,0.026
2007-10-07,0.024333333
2007-10-08,0.021
2007-10-09,0.021
2007-10-10,0.021
2007-10-11,0.021
2007-10-12,0.021
2007-10-13,0.021
2007-10-14,0.021
2007-10-15,0.021
2007-10-16,0.021
2007-10-17,0.021
2007-10-18,0.022666667
2007-10-19,0.026
2007-10-20,0.026
2007-10-21,0.026
2007-10-22,0.026
2007-10-23,0.037
2007-10-24,0.12035
2007-10-25,0.097916667
2007-10-26,0.0552
2007-10-27,0.045
2007-10-28,0.1770625
2007-10-29,0.466230769
2007-10-30,0.197833333
2007-10-31,0.107857143
2007-11-01,0.0765
2007-11-02,0.0552
2007-11-03,0.045
2007-11-04,0.041666667
2007-11-05,0.04
2007-11-06,0.04
2007-11-07,0.04
2007-11-08,0.038333333
2007-11-09,0.102357143
2007-11-10,0.187466667
2007-11-11,0.107
2007-11-12,0.084
2007-11-13,0.069333333
2007-11-14,0.0605
2007-11-15,0.055
2007-11-16,0.048333333
2007-11-17,0.045
2007-11-18,0.045
2007-11-19,0.0532
2007-11-20,0.073333333
2007-11-21,0.0788
2007-11-22,0.066
2007-11-23,0.066
2007-11-24,0.066
2007-11-25,0.062333333
2007-11-26,0.281586207
2007-11-27,0.2111875
2007-11-28,0.118571429
2007-11-29,0.0882
2007-11-30,0.069333333
2007-12-01,0.066
2007-12-02,0.066
2007-12-03,0.08425
2007-12-04,0.156
2007-12-05,0.113222222
2007-12-06,0.084
2007-12-07,0.076
2007-12-08,1.248121212
2007-12-09,0.684548387
2007-12-10,0.420333333
2007-12-11,0.305533333
2007-12-12,1.21884
2007-12-13,1.458216216
2007-12-14,0.535961538
2007-12-15,0.296
2007-12-16,0.217142857
2007-12-17,0.185333333
2007-12-18,0.168
2007-12-19,0.132833333
2007-12-20,0.109
2007-12-21,0.096666667
2007-12-22,0.088
2007-12-23,0.0788
2007-12-24,0.066
2007-12-25,0.066
2007-12-26,0.066
2007-12-27,0.066
2007-12-28,0.066
2007-12-29,0.066
2007-12-30,0.066
2007-12-31,0.062333333
2008-01-01,0.055
2008-01-02,0.0475
2008-01-03,0.045
2008-01-04,0.045
2008-01-05,0.045
2008-01-06,0.048333333
2008-01-07,0.055
2008-01-08,0.058666667
2008-01-09,0.066
2008-01-10,0.066
2008-01-11,0.066
2008-01-12,0.139466667
2008-01-13,0.222714286
2008-01-14,0.179666667
2008-01-15,0.151714286
2008-01-16,0.121666667
2008-01-17,0.1032
2008-01-18,0.084
2008-01-19,0.072666667
2008-01-20,0.066
2008-01-21,0.066
2008-01-22,0.066
2008-01-23,0.066
2008-01-24,0.0574
2008-01-25,0.045
2008-01-26,0.045
2008-01-27,0.045
2008-01-28,0.045
2008-01-29,0.045
2008-01-30,0.045
2008-01-31,0.045
2008-02-01,0.045
2008-02-02,0.045
2008-02-03,0.064
2008-02-04,0.076
2008-02-05,0.076
2008-02-06,0.076
2008-02-07,0.072666667
