 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  1998       4       0  cha4                 0.1333E+00     0.1222E+00     0.1333E+00     0.5620E+00     0.1445E+02     0.7276E+01     0.7225E+01     0.0000E+00     0.7214E+01     0.0000E+00     0.5089E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.5352E-02     0.0000E+00     0.2256E+05     0.2068E+05     0.2256E+05     0.1982E-02
   365    12    31  1998       5       0  cha5                 0.4674E+00     0.1069E+00     0.4674E+00     0.1484E+01     0.1681E+02     0.8607E+01     0.8407E+01     0.0000E+00     0.8390E+01     0.0000E+00     0.1998E+00     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.9859E-02     0.0000E+00     0.2563E+05     0.5860E+04     0.2563E+05     0.1383E-02
   365    12    31  1998       6       0  cha6                 0.5368E+00     0.3143E-01     0.5368E+00     0.1436E+01     0.1179E+02     0.6168E+01     0.5896E+01     0.0000E+00     0.5784E+01     0.0000E+00     0.2720E+00     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1010E-01     0.0000E+00     0.1949E+05     0.1141E+04     0.1949E+05     0.4263E-03
   365    12    31  1999       1       0  cha1                 0.2357E-01     0.2247E-01     0.2357E-01     0.1019E+00     0.5102E+00     0.5467E+00     0.2551E+00     0.0000E+00     0.2523E+00     0.0000E+00     0.2916E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.3478E-01     0.0000E+00     0.4754E+04     0.4531E+04     0.4754E+04     0.3335E-03
   365    12    31  1999       2       0  cha2                 0.7866E-01     0.6356E-01     0.7866E-01     0.3797E+00     0.9950E-04     0.7365E-01     0.4975E-04     0.0000E+00     0.4909E-04     0.0000E+00     0.7360E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.2351E-01     0.0000E+00     0.6950E+05     0.5616E+05     0.6950E+05     0.2604E-04
   365    12    31  1999       3       0  cha3                 0.1269E+00     0.4455E-01     0.1269E+00     0.5649E+00     0.4568E-01     0.3523E+01     0.2284E-01     0.0000E+00     0.2280E-01     0.1845E+00     0.3316E+01     0.0000E+00     0.1292E+01     0.2134E+00     0.5260E-02     0.5021E-02     0.4210E+00     0.0000E+00     0.3247E+05     0.1140E+05     0.3247E+05     0.2292E-02
   365    12    31  1999       4       0  cha4                 0.8464E-01     0.8142E-01     0.8464E-01     0.3567E+00     0.2771E+01     0.1416E+01     0.1385E+01     0.0000E+00     0.1375E+01     0.0000E+00     0.3086E-01     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.3263E-02     0.0000E+00     0.1432E+05     0.1377E+05     0.1432E+05     0.8083E-03
   365    12    31  1999       5       0  cha5                 0.3177E+00     0.8229E-01     0.3177E+00     0.1008E+01     0.5494E+01     0.4159E+01     0.2747E+01     0.0000E+00     0.2735E+01     0.0000E+00     0.1412E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.7003E-01     0.0000E+00     0.1742E+05     0.4512E+04     0.1742E+05     0.3092E-02
   365    12    31  1999       6       0  cha6                 0.3658E+00     0.2441E-01     0.3658E+00     0.9789E+00     0.6006E+01     0.4686E+01     0.3003E+01     0.0000E+00     0.2294E+01     0.0000E+00     0.1683E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6280E-01     0.0000E+00     0.1328E+05     0.8861E+03     0.1328E+05     0.1497E-02
   366    12    31  2000       1       0  cha1                 0.2064E-01     0.2018E-01     0.2066E-01     0.8924E-01     0.1303E-02     0.3548E+00     0.6515E-03     0.0000E+00     0.6459E-03     0.0000E+00     0.3542E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.4178E-01     0.0000E+00     0.4174E+04     0.4081E+04     0.4179E+04     0.2874E-03
   366    12    31  2000       2       0  cha2                 0.6245E-01     0.5228E-01     0.6246E-01     0.3015E+00     0.5420E-06     0.5855E-01     0.2710E-06     0.0000E+00     0.1555E-06     0.0000E+00     0.5855E-01     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.1941E-01     0.0000E+00     0.5533E+05     0.4632E+05     0.5534E+05     0.2563E-04
   366    12    31  2000       3       0  cha3                 0.9924E-01     0.3465E-01     0.9928E-01     0.4417E+00     0.1939E-01     0.1875E+01     0.9695E-02     0.0000E+00     0.9640E-02     0.1993E+00     0.1666E+01     0.0000E+00     0.1292E+01     0.2188E+00     0.5260E-02     0.5425E-02     0.2050E+00     0.0000E+00     0.2546E+05     0.8887E+04     0.2546E+05     0.1029E-02
   366    12    31  2000       4       0  cha4                 0.6396E-01     0.6220E-01     0.6396E-01     0.2695E+00     0.1921E+01     0.1131E+01     0.9605E+00     0.0000E+00     0.9605E+00     0.0000E+00     0.1707E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1788E-01     0.0000E+00     0.1085E+05     0.1055E+05     0.1085E+05     0.7426E-03
