 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  2010         1     1  Mini_CREATE           0.2837E+03     0.9080E+02     0.2837E+03     0.9599E+03     0.1840E+02     0.1954E+02     0.9201E+01     0.0000E+00     0.8644E+01     0.1973E+00     0.1014E+02     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5372E-02     0.1057E+01     0.0000E+00     0.1145E+06     0.6805E+05     0.1145E+06     0.3968E+01
   365    12    31  2011         1     1  Mini_CREATE           0.2317E+03     0.7735E+02     0.2317E+03     0.7783E+03     0.1620E+02     0.1778E+02     0.8098E+01     0.0000E+00     0.6307E+01     0.1596E+00     0.9525E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.4345E-02     0.6653E+00     0.0000E+00     0.8986E+05     0.5377E+05     0.8987E+05     0.3603E+01
   366    12    31  2012         1     1  Mini_CREATE           0.2763E+03     0.9026E+02     0.2763E+03     0.9363E+03     0.1677E+02     0.1986E+02     0.8386E+01     0.0000E+00     0.7751E+01     0.1951E+00     0.1128E+02     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.5310E-02     0.1093E+01     0.0000E+00     0.1127E+06     0.6887E+05     0.1127E+06     0.3815E+01
   365    12    31  2013         1     1  Mini_CREATE           0.2051E+03     0.6925E+02     0.2051E+03     0.6876E+03     0.1252E+02     0.1780E+02     0.6262E+01     0.0000E+00     0.4699E+01     0.2720E+00     0.1126E+02     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.7405E-02     0.8791E+00     0.0000E+00     0.7837E+05     0.4695E+05     0.7838E+05     0.3992E+01
   365    12    31  2014         1     1  Mini_CREATE           0.8903E+02     0.3364E+02     0.8906E+02     0.2912E+03     0.5185E+01     0.8082E+01     0.2593E+01     0.0000E+00     0.2010E+01     0.0000E+00     0.5489E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.4408E+00     0.0000E+00     0.2829E+05     0.1707E+05     0.2830E+05     0.2392E+01
   365    12    31  2015         1     1  Mini_CREATE           0.1342E+03     0.4573E+02     0.1341E+03     0.4463E+03     0.9147E+01     0.1237E+02     0.4573E+01     0.0000E+00     0.4006E+01     0.0000E+00     0.7798E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.6587E+00     0.0000E+00     0.4813E+05     0.2878E+05     0.4811E+05     0.3162E+01
   366    12    31  2016         1     1  Mini_CREATE           0.2186E+03     0.7154E+02     0.2186E+03     0.7325E+03     0.1595E+02     0.1743E+02     0.7976E+01     0.0000E+00     0.7418E+01     0.4275E-01     0.9415E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1164E-02     0.9179E+00     0.0000E+00     0.8212E+05     0.4716E+05     0.8212E+05     0.3682E+01
   365    12    31  2017         1     1  Mini_CREATE           0.4602E+03     0.1428E+03     0.4602E+03     0.1570E+04     0.2257E+02     0.2121E+02     0.1128E+02     0.0000E+00     0.1062E+02     0.2932E+00     0.9628E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.7982E-02     0.9053E+00     0.0000E+00     0.1961E+06     0.1152E+06     0.1961E+06     0.3334E+01
   365    12    31  2018         1     1  Mini_CREATE           0.2165E+03     0.7519E+02     0.2165E+03     0.7314E+03     0.6103E+01     0.8648E+01     0.3052E+01     0.0000E+00     0.2513E+01     0.7812E-01     0.5518E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.2127E-02     0.4305E+00     0.0000E+00     0.8548E+05     0.5466E+05     0.8551E+05     0.2252E+01
   365    12    31  2019         1     1  Mini_CREATE           0.1776E+03     0.5929E+02     0.1776E+03     0.5942E+03     0.1214E+02     0.1625E+02     0.6072E+01     0.0000E+00     0.5350E+01     0.4851E-01     0.1013E+02     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.1321E-02     0.8767E+00     0.0000E+00     0.6620E+05     0.3978E+05     0.6617E+05     0.3965E+01
   366    12    31  2020         1     1  Mini_CREATE           0.2209E+03     0.7472E+02     0.2210E+03     0.7461E+03     0.9834E+01     0.1455E+02     0.4917E+01     0.0000E+00     0.3480E+01     0.1158E+00     0.9516E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.3152E-02     0.6164E+00     0.0000E+00     0.8988E+05     0.5612E+05     0.8990E+05     0.4050E+01
   365    12    31  2021         1     1  Mini_CREATE           0.1283E+03     0.4462E+02     0.1283E+03     0.4252E+03     0.1035E+02     0.1320E+02     0.5175E+01     0.0000E+00     0.4275E+01     0.0000E+00     0.8022E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5998E+00     0.0000E+00     0.4499E+05     0.2698E+05     0.4499E+05     0.3581E+01
